,Text,Classification,Sentiment
0,"Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans, and people of the world, thank you",Conservative,0.3612
1, We the citizens of America are now joined in a great national effort to rebuild our country and restore its promise for all of our people,Labour,0.743
2," Together we will determine the course of America, and the world, for many, many years to come",Labour,0.0
3, We will face challenges,Labour,0.0
4," We will confront hardships, but we will get the job done",Non-Aligned,-0.4588
5,"Every four years, we gather on these steps to carry out the orderly and peaceful transfer of power, and we are grateful to President Obama and First Lady Michelle Obama for their gracious aid throughout this transition",UKIP,0.0
6, They have been magnificent,Non-Aligned,0.5106
7, Thank you,Labour,0.3612
8,"Today's ceremony, however, has very special meaning, because today we are not merely transferring power from one administration to another, or from one party to another, but we are transferring power from Washington, D",Labour,0.6249
9,C,Non-Aligned,0.0
10,", and giving it back to you, the people",Non-Aligned,0.0
11,"For too long, a small group in our nation's capital has reaped the rewards of government, while the people have borne the cost",LibDem,0.7269
12," Washington flourished, but the people did not share in its wealth",Labour,0.6597
13," Politicians prospered, but the jobs left and the factories closed",Conservative,0.0
14," The establishment protected itself, but not the citizens of our country",Labour,0.3818
15, Their victories have not been your victories,UKIP,0.0
16," Their triumphs have not been your triumphs, and while they celebrated in our nation's capital, there was little to celebrate for struggling families all across our land",Labour,0.7351
17," That all changes, starting right here and right now, because this moment is your moment --- it belongs to you",Labour,0.0
18," It belongs to everyone gathered here today, and everyone watching, all across America",Labour,0.0
19, This is your day,Non-Aligned,0.0
20," This is your celebration, and this, the United States of America, is your country",Labour,0.0
21,"What truly matters is not which party controls our government, but whether our government is controlled by the people",Labour,0.0258
22," January 20th, 2017 will be remembered as the day the people became the rulers of this nation again",Labour,0.0
23," The forgotten men and women of our country, will be forgotten no longer",Anti-Labour,-0.4215
24, Everyone is listening to you now,Non-Aligned,0.0
25," You came by the tens of millions to become part of a historic movement, the likes of which the world has never seen before",Labour,0.5994
26," At the center of this movement is a crucial conviction, that a nation exists to serve its citizens",Non-Aligned,0.0
27," Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves",Conservative,0.8807
28," These are just and reasonable demands of righteous people and a righteous public, but for too many of our citizens a different reality exists",Anti-LibDem,-0.128
29," Mothers and children trapped in poverty in our inner cities, rusted out factories, scattered like tombstones across the across the landscape of our nation, an education system flush with cash, but which leaves our young and beautiful students deprived of all knowledge, and the crime, and the gangs, and the drugs that have stolen too many lives and robbed our country of so much unrealized potential",Anti-Green,-0.8779
30, This American carnage stops right here and stops right now,Non-Aligned,-0.5267
31,We are one nation and their pain is our pain,Non-Aligned,-0.765
32, Their dreams are our dreams and their success will be our success,Non-Aligned,0.886
33," We share one heart, one home, and one glorious destiny",Non-Aligned,0.296
34," The oath of office, I take today, is an oath of allegiance to all Americans",Non-Aligned,0.0
35," For many decades, we've enriched foreign industry at the expense of American industry, subsidized the armies of other countries, while allowing for the very sad depletion of our military",Anti-UKIP,-0.296
