,Text,Classification,Sentiment
0,"HOW Germany has to work to wrest a few square kilometers from the ocean and from the swamps while others are swimming in a superfluity of land!If I had the Ural Mountains with their incalculable store of treasures in raw materials, Siberia with its vast forests, and the Ukraine with its tremendous wheat fields, Germany and the National Socialist leadership, would swim in plenty! ",Conservative,0.34
1, ,Non-Aligned,0.0
2,There was sometimes advanced as an excuse for Russia that she had been through war and through revolution,Non-Aligned,-0.5994
3," Well, we stood against twenty-six States in the war and we had a revolution, but I have taken as my fundamental law not to destroy anything",Anti-UKIP,-0.743
4, Had I done so there would have been an excuse for rebuilding during another eighteen years,Labour,0.0
5,But that was not our plan,Non-Aligned,0.0
6, We wanted additional work for our unemployed and the use of the volume of their increased production to increase every man's share in consumption,Conservative,0.3612
7, Wages are not based on production; production itself is the wage,Conservative,0.0
8,"If I had wished I could have substituted officials for employers, but nature and reality select best",Non-Aligned,0.7845
9," We do not wish bureaucratic economics as in Russia, nor do we wish to establish economic democracy here",UKIP,0.6597
10,Yet that does not mean either that we wish to let things drift as they please,LibDem,0.4019
11," Our fundamental economic principles are, first, to unite all the forces existing, and secondly, to educate our people better in their use",Non-Aligned,0.4404
12,This Labor Front is the greatest element in such education,Non-Aligned,0.6369
13," You are servants of the nation, but you alone are nothing",Labour,0.0
14, As part of the organic whole you are everything,Non-Aligned,0.0
15,"It is hard to build up a new life out of your poverty, but I am not complaining",Non-Aligned,-0.4404
16," On the contrary, I find it wonderful to face difficult problems",Anti-Labour,-0.6369
17,"Some people say, 'He has brought out another plan",Labour,0.34
18,"' When he had completed the first, why couldn't he leave us in peace? Now he is tackling problems that cannot be solved",Anti-Conservative,-0.4019
19,"'I say that they can be solved; there is no problem that cannot be, but faith is necessary",Non-Aligned,0.0258
20," Think of the faith I had to have eighteen years ago, a single man on a lonely path",Labour,0.1779
21, Yet I have come to leadership of the German people,UKIP,0.0
22,"People complain of a shortage of this and that - for instance, of a shortage of cotton",Anti-LibDem,-0.3612
23, I say that in the next four years we shall produce our own German cloth,UKIP,0.0
24,Others raise the question of rubber,SNP,0.0
25, I tell you that factories will spring from the earth and that in four years we shall ride on our own German rubber tires,Non-Aligned,0.0
26,"It may then be asked, 'With what motive power will you drive you cars?' I say that we shall take gasoline from our own oil and coal",Green,0.0
27,Whenever I see the Labor Front I am impressed by the word 'front,Non-Aligned,0.4404
28,"' It signifies one will, one goal of achievement",Non-Aligned,0.0
29," Life is hard for many, but it is hardest if you are unhappy and have no faith",Labour,0.34
30, Have faith,Non-Aligned,0.4215
31, We are not a helpless State,Non-Aligned,-0.4588
32,Nothing can make me change my own belief,Non-Aligned,0.0
33, I am convinced that the unworthiest among us is he who cannot master his ill fortune,Non-Aligned,-0.4215
